Address Line 1,City,CO2 Emission,County,Facility ID,Gas Code,Gas Name,Latitude,Longitude,State Name,Year,Zip Code,Facility Name,geometry,is_major_city,distance_to_nearest_major_city
359 Rockhouse Fork,SIDNEY,51242.6,PIKE,1010091,CO2,CARBON DIOXIDE,37.613017,-82.377917,KENTUCKY,2011,41564,PROCESS ENERGY,POINT (1187009.082679508 1704671.333795724),no,251496.63443728394
35251 OLD SKYLINE RD.,KETTLEMAN CITY,704.974,KINGS,1007794,CO2,CARBON DIOXIDE,35.95943,-120.00865,CALIFORNIA,2011,93239,CWMI  KHF (MSW LANDFILL B-19),POINT (-2123307.994825591 1703840.4259898937),no,221690.8991873037
300 CR 6800,WATERFLOW,908.8,SAN,1009342,CO2,CARBON DIOXIDE,36.797837,-108.440704,NEW MEXICO,2011,87421,SAN JUAN MINE,POINT (-1096606.3597152433 1599985.588783327),no,453575.140412576
6801 E 2ND ST,LONG BEACH,183813.8,LOS,1006097,BIOCO2,BIOGENIC CO2,33.7639,-118.0942,CALIFORNIA,2011,90803,HAYNES GENERATING STATION,POINT (-2013779.6614028658 1423745.611445504),no,48522.113760005544
2963 SW 40TH,EL DORADO,4.7,BUTLER,1007554,CO2,CARBON DIOXIDE,37.76633,-96.89577,KANSAS,2011,67042,BUTLER COUNTY LANDFILL,POINT (-78160.95229906862 1637003.3164358675),no,253241.4291559844
3073 US HIGHWAY 287,EADS,15.794,KIOWA,1001994,N2O,NITROUS OXIDE,38.413345,-102.759485,COLORADO,2011,81036,CIG STATION 5560 KIT CARSON  CO,POINT (-584160.6805854907 1729938.3368652444),no,236086.34861798293
3073 US HIGHWAY 287,EADS,3460.5,KIOWA,1001994,CH4,METHANE,38.413345,-102.759485,COLORADO,2011,81036,CIG STATION 5560 KIT CARSON  CO,POINT (-584160.6805854907 1729938.3368652444),no,236086.34861798293
5000 N. FM 1912,AMARILLO,29.75,POTTER,1001680,CH4,METHANE,35.258611,-101.642222,TEXAS,2011,79187,TYSON FRESH MEATS,POINT (-508700.8724985653 1370844.796475491),no,524899.700929548
1555 GOTT ST. 37 CES/CEV  BUILDING 5595,LACKLAND AFB,46.786,BEXAR,1002785,N2O,NITROUS OXIDE,29.380811,-98.590864,TEXAS,2011,78236,U.S. AIR FORCE LACKLAND AFB TX,POINT (-251555.42196076096 704140.3045771436),no,11213.22450971799
7600 32nd Street,PORT ARTHUR,1641813.0,JEFFERSON,1005743,CO2,CARBON DIOXIDE,29.957935,-93.897484,TEXAS,2011,77642,TOTAL PETROCHEMICALS & REFINING USA  INC. - PORT ARTHUR REFINERY,POINT (202733.02925079962 766949.6567319323),no,145187.97470972597
9701 MANCHESTER,HOUSTON,6334.35,HARRIS,1006062,CH4,METHANE,29.722274,-95.254401,TEXAS,2011,77012,VALERO REFINING HOUSTON REFINERY,POINT (72103.87595801016 738847.5891904057),yes,0.0
