distance_to_nearest_major_city,distance_to_coast,Facility ID,BIOCO2,CH4,CO2,HFC,HFE,N2O,NF3,OTHER,OTHER_FULL,PFC,SF6,VERY_SHORT,CountyFips,StateFips,Average,Counts,Percent
285785.58520335046,62817.42600692749,1005907.5714285715,0.0,9218.425,215311.31428571427,0.0,0.0,119.11485714285713,0.0,0.0,0.0,0.0,0.0,0.0,22001.0,22.0,9.43205279178082,123596.0,0.0
133618.12540689067,7760.670508905091,1005066.6666666666,0.0,53082.666666666664,30468.399999999998,0.0,0.0,71.52,0.0,0.0,0.0,0.0,0.0,0.0,51001.0,51.0,8.75221139178083,200052.0,0.0
473978.8164602502,618112.4945672225,1004686.25,0.0,7219.9375,9069.25,187.6245,40.70165,5.215,1818.9,0.0,4389.5,1416.18575,11181.12,0.0,16001.0,16.0,16.70294255596731,401039.0,0.273972602739726
188786.20067477587,895574.8173918542,1002968.4166666666,0.0,13173.801183333333,1097155.5649583333,0.0,0.0,4998.478166666667,0.0,0.0,0.0,0.0,3558.225,0.0,30334.666666666668,30.333333333333332,10.45569861065275,417596.75,0.09113706115727226
254979.65735100803,150458.5948726746,1011305.0,0.0,0.0,25936.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50001.0,50.0,8.31418543287672,0.0,0.0
219586.88309872267,131975.59289721964,1003411.5,2637.25,18827.5625,321866.44999999995,0.0,0.0,595.9254999999999,0.0,0.0,0.0,0.0,0.0,0.0,45003.0,45.0,12.6588578328767,161978.0,0.273972602739726
101127.47889720768,68566.2614013544,1002251.0,0.0,804.25,404834.07999999996,0.0,0.0,1372.5284,0.0,0.0,0.0,0.0,0.0,0.0,12001.0,12.0,17.085618602253703,249653.0,0.273972602739726
59296.96769795573,205846.75863075012,1005138.0,0.0,106525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37001.0,37.0,19.60423757731069,1078232.0,1.385083713850836
35016.07405706821,12385.913594124531,1005553.8333333334,8401.289835833333,59862.69101666667,14630.402833333334,0.0,0.0,49.363104,0.0,0.0,0.0,0.0,0.0,0.0,6001.0,6.0,10.4944801835616,9187948.0,0.547945205479452
199737.6223294381,534782.0265887403,1003569.3333333334,0.0,13992.604166666666,361309.5416666667,0.0,0.0,432.4973333333333,0.0,0.0,0.0,0.0,0.0,0.0,46001.0,46.0,13.879511769185115,615954.5,0.279843444227006
257591.34024719708,687835.2331237972,1004859.0,259004.0,2457.5,26748.4,0.0,0.0,3844.2,0.0,0.0,0.0,0.0,0.0,0.0,26001.0,26.0,7.80961732602739,0.0,0.0
140799.8978333057,472331.8115690231,1004359.0,0.0,4057.25,72549.4,0.0,0.0,40.826,0.0,0.0,0.0,0.0,0.0,0.0,28003.0,28.0,9.833090854794532,0.0,0.0
3210977.203897608,1180.3847126343037,1007363.6666666666,4981.966666666667,36.666666666666664,32184.5,0.0,0.0,83.83733333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
204970.93231830923,708197.1086873788,1008175.0,0.0,73.125,33152.9,0.0,0.0,124.713,0.0,0.0,0.0,0.0,0.0,0.0,27003.0,27.0,10.2259672753425,8016.0,0.0
12387.457875571816,3521.2742687803934,1004366.5,97018.0,1876.0,240656.05,0.0,0.0,3029.1699999999996,0.0,0.0,0.0,0.0,0.0,0.0,51510.0,51.0,20.700991309985902,2020774.0,0.0
386704.1792425987,658836.2140464147,1005838.0,0.0,359.5,126027.6,0.0,0.0,622.522,0.0,0.0,0.0,0.0,0.0,0.0,26003.0,26.0,7.14164203561644,0.0,0.0
246928.338611572,1148826.948325571,1007419.0,0.0,4404.5,1526915.6,0.0,0.0,7638.038,0.0,0.0,0.0,0.0,0.0,0.0,19005.0,19.0,9.50455021643836,0.0,0.0
167982.67520290625,849445.7314406409,1002092.3333333334,0.0,769.6666666666666,35478.066666666666,0.0,0.0,20.66133333333333,0.0,0.0,0.0,0.0,0.0,0.0,26005.0,26.0,18.52689380607046,1561518.0,0.0
189444.34783191895,246018.14670811564,1003309.2,151452.96,21839.670000000002,490496.7942,0.0,0.0,4184.218,0.0,0.0,0.0,0.0,0.0,0.0,30002.0,30.0,9.081487350684935,0.0,0.0
222169.02828086325,238467.89358088447,1000256.0,1613240.0,267242.0,1410279.8,0.0,0.0,30401.662,0.0,0.0,0.0,0.0,0.0,0.0,44005.0,44.0,9.019087476712333,0.0,0.0
11280.020998347023,304365.40275536914,1005677.8064516129,0.0,61285.62419354839,278484.6639032258,0.0,0.0,501.6878064516129,0.0,0.0,0.0,0.0,3220.904516129032,0.0,42003.0,42.0,28.756124473336296,63135111.0,7.518335985098368
158038.26060785228,623511.2858848014,1004684.2777777778,115.12777777777778,18216.333333333332,197822.49444444446,0.0,0.0,15040.88777777778,0.0,0.0,0.0,0.0,0.0,0.0,24002.6,24.0,12.4369642697618,389023.0,0.0
248482.46366212715,68584.56681100564,1007719.0,41390.6,352.5,0.0,0.0,0.0,566.2,0.0,0.0,0.0,0.0,0.0,0.0,45005.0,45.0,10.5283407835616,0.0,0.0
300568.22350409266,680122.9720860289,1005605.5,52713.5,1657.5,1077099.1,0.0,0.0,2915.93,0.0,0.0,0.0,0.0,0.0,0.0,26007.0,26.0,7.76028678082191,0.0,0.0
56838.10935561112,68802.92682511942,1007610.0,0.0,157625.3,529.841,0.0,0.0,0.596,0.0,0.0,0.0,0.0,0.0,0.0,51007.0,51.0,8.69227700547946,0.0,0.0
